y_train,y_train_pre
-0.63,-2.3246958255767822
-2.36,-3.7098782062530518
-7.32,-3.876774311065674
-0.85,-3.1656718254089355
-0.41,-1.1321241855621338
-3.68,-3.9193103313446045
-3.37,-3.9865708351135254
-0.19,-2.350574016571045
-4.15,-3.483299970626831
-2.93,-3.8657619953155518
-2.22,-3.584416151046753
-2.349,-3.5988516807556152
-4.42,-3.9417004585266113
-9.16,-3.9561607837677
-4.26,-2.616062879562378
-1.78,-3.469975233078003
0.106,-3.510117292404175
-3.5039999999999996,-3.6889164447784424
-3.38,-3.757237195968628
-4.16,-3.9853692054748535
-0.67,-2.612525463104248
0.47,-2.0273945331573486
-0.89,-2.602062463760376
-4.02,-3.6399624347686768
-2.22,-3.4989631175994873
0.64,-3.3665757179260254
-1.92,-3.586141586303711
-3.924,-3.708885669708252
-0.89,-1.1960586309432983
-1.59,-1.6717948913574219
-4.93,-3.95575213432312
-1.11,-2.602999210357666
-3.5860000000000003,-3.996400833129883
-3.19,-3.1708297729492188
0.94,-2.8219153881073
-3.324,-3.9342200756073
-1.92,-2.610430955886841
-3.39,-3.367111921310425
-4.402,-3.8812813758850098
-3.6,-3.5078978538513184
-2.68,-3.844069004058838
-3.59,-3.9193358421325684
-1.96,-3.277975559234619
-3.46,-3.9717421531677246
-2.596,-3.92293119430542
-0.79,-0.6585391163825989
-7.85,-4.022803783416748
-5.08,-2.8267059326171875
-1.456,-3.6297810077667236
-4.43,-3.685101270675659
-9.017999999999999,-4.057374954223633
-1.46,-2.820321798324585
-2.68,-3.844069004058838
-4.07,-3.171657085418701
-6.317,-3.777592897415161
-2.46,-3.0157558917999268
-2.58,-3.145608901977539
-4.743,-3.8792099952697754
-2.67,-3.168581485748291
-3.05,-3.795757293701172
-4.06,-3.7097182273864746
-3.19,-3.9745724201202393
-3.685,-4.026093482971191
-5.82,-3.6738409996032715
-0.8,-3.157339096069336
-0.62,-3.160482406616211
-2.5810000000000004,-3.6156928539276123
-5.071000000000001,-4.037330627441406
-6.237,-4.012419700622559
-6.86,-3.7897849082946777
-3.35,-3.8699734210968018
-5.21,-3.7615609169006348
-6.39,-3.761190891265869
-0.8,-2.599504232406616
-0.18,-2.3455302715301514
-5.03,-3.9052891731262207
-1.4880000000000002,-3.1178367137908936
-1.24,-3.610156297683716
-2.452,-3.6174156665802
-6.57,-3.878615617752075
-1.85,-3.1425137519836426
-4.632,-3.964622974395752
-3.1710000000000003,-3.719311475753784
-6.34,-3.942117691040039
-2.73,-2.016080379486084
-5.736000000000001,-3.8071160316467285
-3.5,-3.1699533462524414
-3.66,-2.8200669288635254
-4.09,-4.04066801071167
-0.4,-3.141864538192749
-4.8,-3.428880214691162
-4.376,-3.9118282794952393
-2.68,-3.3774349689483643
-4.88,-3.7064833641052246
-2.63,-3.7861812114715576
-1.25,-3.2559666633605957
-2.67,-3.4135069847106934
-0.466,-3.5865135192871094
-4.5760000000000005,-4.026113510131836
1.1440000000000001,-3.5879263877868652
-2.44,-3.365344285964966
0.74,-3.331941604614258
-4.63,-3.4203574657440186
-3.4,-3.306732654571533
0.32,-1.6703121662139893
-4.89,-3.6603198051452637
-6.523,-4.08174991607666
-0.14,-2.3457579612731934
-2.35,-3.1467437744140625
-5.382000000000001,-3.965174436569214
-5.14,-3.651663303375244
-5.43,-3.766693115234375
-1.96,-2.034576892852783
-5.16,-2.826934337615967
