smiles,solubility
CC(C)C(=O)C(C)C,-1.3
Cc1cccc2ccccc12,-3.7
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81
Clc1ccccc1,-2.38
Nc1nc[nH]n1,0.522
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
C/C=C/C=O,0.32
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23
Clc1ccc(Cl)cc1,-3.27
Nc2cccc3nc1ccccc1cc23 ,-4.22
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,-4.16
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
CCCCOC=O,-1.37
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8
Clc1ccc(I)cc1,-4.03
CCCCCCCCCCCCCCCCO,-7.0
C(Cc1ccccc1)c2ccccc2,-4.62
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
Oc1c(I)cc(C#N)cc1I,-3.61
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
OCC(O)C(O)CO,0.7
Cc1ccc(Br)cc1,-3.19
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.39
CCc1ccc(CC)cc1,-3.75
Brc1ccc(Br)cc1,-4.07
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
Clc1ccccc1c2ccccc2,-4.54
c1ccc(cc1)c2ccccc2,-4.345
Cc2ncc1nccnc1n2,-0.12
O=c1[nH]cnc2[nH]ncc12 ,-2.266
CCN(CC)c1ccccc1,-3.03
O=C1CCC(=O)N1,0.3
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
Nc1ncnc2nc[nH]c12 ,-2.12
CCc1ccccn1,0.51
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
CCC(C)C(=O)C,-0.67
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999
Nc2cnn(c1ccccc1)c(=O)c2Cl,-2.878
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
OCc1ccccc1,-0.4
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
CCc1ccc(C)cc1,-3.11
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.6339999999999995
c1ccccc1NC(=O)c2c(O)cccc2,-3.59
CC(=O)Nc1ccc(Br)cc1,-3.083
CC(C)O,0.43
CCOP(=S)(OCC)SCSCC,-4.11
Clc1ccccc1I,-3.54
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
Clc1cccc(Cl)c1Cl,-4.0
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,-4.9
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43
ClC(Cl)Cl,-1.17
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
CC(C)CC(C)(C)O,-0.92
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
Cc1occc1C(=O)Nc2ccccc2,-3.3
Cc1cccc(C)c1O,-1.29
Cc1cccc(C)c1C,-3.2
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445
CC(C)CC(C)O,-0.8
Cc1ccnc(C)c1,0.38
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
OC1C(O)C(O)C(O)C(O)C1O,0.35
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-4.871
Cc1cccc2c1Cc3ccccc32,-5.22
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
c1(Br)c(Br)cc(Br)cc1,-4.5
C1c2ccccc2c3ccc4ccccc4c13,-6.68
CC(C)COC=O,-1.01
CC12CCC(CC1)C(C)(C)O2,-1.74
c1(O)cc(O)ccc1CCCCCC,-2.59
Clc1ccccc1N(=O)=O,-2.55
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
COC(C)(C)C,-0.24
c1c(Br)ccc2ccccc12 ,-4.4
COc1ccccc1N(=O)=O,-1.96
CCCCCc1ccccc1,-4.64
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C ,-4.3
CNC(=O)Oc1ccccc1OC(C)C,-2.05
Cc1cncc(C)c1,0.38
O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002
CCCC(=C)C,-3.03
CC1CO1,-0.59
CC(C)C(C)(C)C,-4.36
C1CCCC1,-2.64
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCCCCCCCC(=O)C,-3.3
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
c1ccccc1O,0.0
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48
CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.1440000000000001
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
CCSC(=O)N(CC)C1CCCCC1 ,-3.4
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
Fc1ccccc1Br,-2.7
CCCC(=O)C,-0.19
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
Brc1cccc2ccccc12,-4.35
C=CCC=C,-2.09
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95
CCSCC,-1.34
NNc1ccccc1,0.07
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999
c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.8
Oc1cccc(O)c1,0.81
COc1ccccc1,-1.85
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.6370000000000005
C=C,-0.4
CCOC(=O)c1ccc(N)cc1,-2.616
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
Nc1c(C)c[nH]c(=O)n1 ,-1.4580000000000002
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22
CCCCCC(C)C,-5.08
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
C1OC(O)C(O)C(O)C1O,0.39
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8960000000000004
CC(O)c1ccccc1,-0.92
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42
NC(=O)c1cnccn1,-0.667
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15
CBr,-0.79
Cc1cc(C)cc(O)c1,-1.4
c1ccc2c(c1)c3cccc4cccc2c34,-6.0
C1CCCCC1,-3.1
CCCCCCCCBr,-5.06
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
CCCOCC,-0.66
Cl\C=C/Cl,-1.3
CC(C)N(=O)=O,-0.62
c2ccc1NCCc1c2 ,-1.04
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
Cc1cccc(c1)N(=O)=O,-2.44
