smiles,solubility
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88
CCOc1ccccc1,-2.33
c1ccc2c(c1)sc3ccccc23,-4.38
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
CCCCCO,-0.6
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
CCCCN(CC)C(=O)SCCC,-3.53
CCCOC(=O)C,-0.72
CCCCCCCC(=O)C,-2.58
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95
CCOC=C,-0.85
C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,-3.535
Clc1cccc(Cl)c1c2ccccc2 ,-5.21
CCCCC,-3.18
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28
Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989
CCBr,-1.09
Oc1c(Cl)ccc(Cl)c1Cl,-2.64
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-4.871
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
CCCCCCCC=C,-5.05
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.17
Brc1ccc2ccccc2c1,-4.4
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083
c2ccc1[nH]ccc1c2,-1.52
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
c1c(Br)ccc2ccccc12 ,-4.4
CCCCCCCO,-1.81
CC(=O)Nc1ccc(F)cc1,-1.78
Nc1ccc(cc1)N(=O)=O,-2.37
CCCC(C)(C)O,-0.49
CCC(C)(O)CC,-0.36
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
CC1(C)C2CCC1(C)C(O)C2,-2.32
COC(=O)c1ccccc1C(=O)OC,-1.66
C1SC(=S)NC1(=O),-1.77
O=C1NC(=O)C(=O)N1 ,-0.4
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
c1(OC)ccc(CC=C)cc1,-2.92
C/C=C/C=O,0.32
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.017999999999999
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
c1(Br)c(Br)cc(Br)cc1,-4.5
Nc2cccc3nc1ccccc1cc23 ,-4.22
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.7539999999999996
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
CC(C)C(C)C,-3.65
CCOC(=O)N,0.85
CCCC,-2.57
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.02
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
CC(C)c1ccc(C)cc1,-3.77
CCCCCCCCCC(=O)OC,-4.69
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153
Ic1cccc2ccccc12,-4.55
CCC=C,-1.94
COP(=O)(NC(C)=O)SC ,0.54
CCCCC=C,-3.23
c1ccc2cc3ccccc3cc2c1,-6.35
CCOC(=O)c1ccc(O)cc1,-2.35
CCOC=O,0.15
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
BrC(Br)Br,-1.91
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.24
CCOC(=O)C,-0.04
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8
Brc1ccc(Br)cc1,-4.07
c1ccc2cnccc2c1,-1.45
c1cC2C(=O)NC(=O)C2cc1,-2.932
ClC(Cl)C(Cl)Cl,-1.74
Cc1cccc2c1Cc3ccccc32,-5.22
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56
CCSCCSP(=S)(OC)OC,-3.091
CCCCCCCI,-4.81
CC(O)c1ccccc1,-0.92
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.6719999999999997
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
CCOCC,-0.09
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
CCCCSP(=O)(SCCCC)SCCCC,-5.14
CCCC(O)C=C,-0.59
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
C1CCCC1,-2.64
Clc1cccc(Cl)c1Cl,-4.0
O=N(=O)c1cccc2ccccc12,-3.54
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
CN(C)C(=O)SCCCCOc1ccccc1,-3.927
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451
CCCCC(=O)C,-0.8
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364
CC(C)CC(C)C,-4.26
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
CCC#N,0.28
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.9819999999999998
Cc1ccc(cc1)N(=O)=O,-2.49
Nc1ncnc2nc[nH]c12 ,-2.12
CCCCCCCCCC(C)O,-2.94
c1ccccc1C(O)C(O)c2ccccc2,-1.93
CCN(CC)C(=S)SCC(Cl)=C,-3.39
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47
Oc1cccc(Cl)c1Cl,-1.3
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
Brc1ccccc1,-2.55
Cc1ccccc1Cl,-3.52
CCCOC(=O)c1ccc(N)cc1,-2.452
Cc1cccc(C)c1,-2.82
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
CCC(C)C,-3.18
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
CC(C)N(C(=O)CCl)c1ccccc1 ,-2.48
OCC(O)CO,1.12
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
CC(C)Br,-1.59
CC(C)=CCC/C(C)=C\CO,-2.46
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42
CCCO,0.62
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.1109999999999998
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
Cc1cccc2ccccc12,-3.7
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48
C1Cc2ccccc2C1,-3.04
CCNc1nc(Cl)nc(NCC)n1 ,-4.55
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
CC(C)COC=O,-1.01
CCCCCC#C,-3.01
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
CCCOCCC,-1.62
Ic1ccccc1,-3.01
CCOC(C)OCC,-0.43
Cc1c[nH]c2ccccc12 ,-2.42
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
COc1ccccc1OCC(O)COC(N)=O,-0.985
CCC1CCCCC1,-4.25
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
CN(=O)=O,0.26
Cc1cncc(C)c1,0.38
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CC(=O)Nc1ccccc1,-1.33
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
CC(C)OC=O,-0.63
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
c2ccc1ocnc1c2,-1.16
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.9989999999999997
CC(C)C(=O)C,-0.12
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
Cc1cc(=O)n(c2ccccc2)n1C,0.715
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22
Clc1ccc(Cl)c(Cl)c1,-3.59
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
COc1ncnc2nccnc12 ,-1.11
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
CCCCCCCCC(=O)C,-3.3
CCC#C,-1.24
Cc1ccc2cc(C)ccc2c1,-4.89
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
