smiles,solubility
NC(=O)NCc1ccccc1 ,-0.95
c1ccccc1NC(=O)c2c(O)cccc2,-3.59
CCCCCCCCC,-5.88
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
CCCCC(=O)OCC,-2.25
CC(C)Cl,-1.41
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
CCCCC,-3.18
CCCCCCCCC(=O)C,-3.3
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 ,-3.928
CNC(=O)Oc1ccccc1OC(C)C,-2.05
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
C,-0.9
CCCCOCCO,-0.42
CCCCl,-1.47
CCCC(=O)CCC,-1.3
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
Oc1c(Br)cc(C#N)cc1Br ,-3.33
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.24
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749
C1Cc2ccccc2C1,-3.04
C(Cc1ccccc1)c2ccccc2,-4.62
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-3.5380000000000003
CCCCC(=O)CCCC,-2.58
CCCCCC(C)(C)O,-1.72
Cc1ccccc1,-2.21
CC(=O)Nc1ccc(Br)cc1,-3.083
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.4319999999999995
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3
Nc1nccs1 ,-0.36
CCC(C)(O)CC,-0.36
CCOC=C,-0.85
CN(=O)=O,0.26
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57
Nc1ccccc1,-0.41
CC(C)C(C)C(C)C,-4.8
C1CCOC1,0.49
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
CCCCOC=O,-1.37
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.8930000000000002
CCC(C)O,0.47
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
Cc1c2ccccc2cc3ccccc13,-5.89
CC(C)C,-2.55
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-7.92
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
CC(Cl)CCl,-1.6
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27
CC(C)I,-2.09
Nc3ccc2cc1ccccc1cc2c3 ,-5.17
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
Cc2ncc1nccnc1n2,-0.12
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.6039999999999996
COC(=O)C=C,-0.22
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
CCCCC=O,-0.85
CC(=O)Nc1ccc(O)cc1,-1.03
ClCCl,-0.63
ClC(Cl)(Cl)N(=O)=O,-2.0
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
CCOC(=O)C=Cc1ccccc1,-3.0
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68
Clc1cc(Cl)cc(Cl)c1,-4.48
Oc1ccc(cc1)c2ccccc2,-3.48
COc1ccccc1OCC(O)COC(N)=O,-0.985
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
Cc1cccc2ccccc12,-3.7
CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 ,-4.553999999999999
Cc1cc(C)cc(O)c1,-1.4
C1CCC=CCC1,-3.18
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,-3.59
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
Cc1c2ccccc2c(C)c3ccccc13,-6.57
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
O=Cc2ccc1OCOc1c2 ,-1.63
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.9530000000000003
CCCC(=O)OC,-1.92
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
Cc1cccc2c1ccc3ccccc32,-5.85
CCCC(C)C,-3.74
CCCC,-2.57
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4
CCC#C,-1.24
Oc1ccc(Br)cc1,-1.09
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
Cc1cc(C)c2ccccc2c1,-4.29
Cc1cc2ccccc2cc1C,-4.72
CCCCCc1ccccc1,-4.64
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03
O=N(=O)c1cccc2ccccc12,-3.54
CCCC=C,-2.68
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.51
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
Cc1ccc(C)c2ccccc12,-4.14
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.18
Brc1ccc(I)cc1,-4.56
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,-4.19
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O ,-4.743
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.4989999999999997
