smiles,solubility
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07
BrCBr,-1.17
CCCCCCCCCCCCCCCO,-6.35
OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,-3.931
Cc1c2ccccc2cc3ccccc13,-5.89
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154
CCC(=O)CC,-0.28
CCCCN(CC)C(=O)SCCC,-3.53
CCCCCc1ccccc1,-4.64
Cc1cc(C)c(C)c(C)c1C,-4.0
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
N(c1ccccc1)c2ccccc2,-3.5039999999999996
CCCCI,-2.96
CCCC1CCCC1,-4.74
CCCCC(C)O,-0.89
CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1
CCCCCCl,-2.73
c1ccc2ccccc2c1,-3.6
Sc1nccc(=O)[nH]1 ,-2.273
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
FC(F)(Cl)C(F)(F)Cl,-2.74
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
CCCCCCCCO,-2.39
CC(=C)C1CC=C(C)C(=O)C1,-2.06
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997
CCCOC(=O)CC,-0.82
Fc1cccc(Br)c1,-2.67
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
CCCOC(=O)c1ccc(N)cc1,-2.452
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
CCCC=O,-0.01
CCCCCC,-3.84
COC(=O)c1cccnc1 ,-0.46
CCO,1.1
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
CC(C)O,0.43
c1c(Cl)cccc1c2ccccc2,-4.88
C/C1CCCCC1\C,-4.3
C1Cc2cccc3cccc1c23,-4.63
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
c1ccccc1C(O)C(O)c2ccccc2,-1.93
Oc1cccc2ccccc12,-2.22
Nc2nc1[nH]cnc1c(=O)[nH]2 ,-3.583
c3ccc2nc1ccccc1cc2c3,-3.67
CCc1ccc2ccccc2c1,-4.29
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC ,-5.115
CC1CO1,-0.59
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
Oc1ccccc1N(=O)=O,-1.74
Oc1cccc(c1)N(=O)=O,-1.01
Clc1ccc(cc1)c2ccccc2Cl ,-5.28
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
c1(OC)ccc(CC=C)cc1,-2.92
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.4319999999999995
Cc1cccc2c1ccc3ccccc32,-5.85
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
CCc1cccc2ccccc12,-4.17
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43
CC=CC=O,0.32
CCNc1nc(Cl)nc(NCC)n1 ,-4.55
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,-4.9
O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.6719999999999997
OCC1OC(O)C(O)C(O)C1O,0.74
COc1ccccc1,-1.85
Cc1cccc(C)c1O,-1.29
CC(C)N(C(=O)CCl)c1ccccc1 ,-2.48
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
CCCCCCCCBr,-5.06
CCOCCOCC,-0.77
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
CCc1ccc(CC)cc1,-3.75
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364
CCSCc1ccccc1OC(=O)NC ,-2.09
C1CCCCC1,-3.1
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73
Nc1cccc(c1)N(=O)=O,-2.19
CCCCCCCC#C,-4.24
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
CN(C)C(=O)N(C)C ,0.94
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
CCCOC,-0.39
CCCN(=O)=O,-0.8
Fc1c[nH]c(=O)[nH]c1=O ,-1.077
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25
CC(C)I,-2.09
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-3.5610000000000004
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
CCCCCC(O)CC,-1.98
COc1cc(CC=C)ccc1O,-1.56
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
CCCC=C,-2.68
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63
Cc1ccccc1O,-0.62
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
CC(=C)C,-2.33
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
C(c1ccccc1)c2ccccc2,-4.08
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57
O=N(=O)c1cccc2ccccc12,-3.54
Brc1ccc2ccccc2c1,-4.4
COP(=O)(NC(C)=O)SC ,0.54
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.6339999999999995
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65
CC(=O)N,1.58
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
C1C=CCC=C1,-2.06
Oc1ccc(O)cc1,-0.17
C=C,-0.4
c1nccc(C(=O)NN)c1,0.009000000000000001
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42
CC(=O)C(C)(C)C,-0.72
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,-3.05
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26
CC1=CCCCC1,-3.27
Oc1ccc2ccccc2c1,-2.28
CCC#N,0.28
CC(C)C(C)(C)C,-4.36
CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 ,-4.207
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445
CCC(=O)OC,-0.14
CCCCC(=O)C,-0.8
NC(=O)c1ccccc1O,-1.8359999999999999
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.51
ClCC,-1.06
O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
CC(C)COC(=O)C,-1.21
C1CCCCCCC1,-4.15
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
CC(C)C(C)O,-0.18
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
CCC1CCCCC1,-4.25
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-4.37
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.3369999999999997
N#Cc1ccccc1C#N,-2.38
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CCN(=O)=O,-0.22
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
CCCI,-2.29
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666
C1c2ccccc2c3cc4ccccc4cc13,-8.04
c1ccc2cnccc2c1,-1.45
Oc1ccncc1,1.02
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
ClC(=C(Cl)Cl)Cl,-2.54
c1ccc2c(c1)ccc3ccccc32,-5.26
CCCCC,-3.18
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
Cc1ccccc1Br,-2.23
CC(C)=CCCC(C)=CC(=O),-2.06
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
OCC(O)CO,1.12
