smiles,solubility
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
OCC(O)CO,1.12
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.82
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6
CCc1ccccc1CC,-3.28
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
BrCBr,-1.17
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
CCCCCCCCCCCCCCO,-5.84
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
CCC(CC)C=O,-1.52
FC(F)(F)c1ccccc1,-2.51
CC(C)(C)c1ccc(O)cc1,-2.41
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
Brc1cc(Br)cc(Br)c1,-5.6
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.6919999999999997
Brc1cccc(Br)c1,-3.54
Sc1nccc(=O)[nH]1 ,-2.273
CCCC(O)CC,-0.8
Fc1ccccc1Br,-2.7
CC(C)c1ccccc1C,-3.76
ClC(=C(Cl)Cl)Cl,-2.54
CC(C)COC=O,-1.01
CCCCCCCCCCCCCC,-7.96
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.39
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07
N(Nc1ccccc1)c2ccccc2 ,-2.92
CC1=CC(=O)CC(C)(C)C1 ,-1.06
CCCOC=O,-0.49
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,-2.647
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
CC(C)=CCCC(O)(C)C=C,-1.99
CCCCCCCCC=C,-5.51
Fc1ccc(F)cc1,-1.97
CCCCCCCI,-4.81
ClC=C(Cl)Cl,-1.96
c1ccccc1,-1.64
CCCCCBr,-3.08
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
COc1ccccc1O ,-1.96
COC(=O)c1ccccc1,-1.85
N#Cc1ccccc1C#N,-2.38
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CCC(C)(O)CC,-0.36
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-7.66
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
O=C1CCC(=O)N1,0.3
COC(=O)C=C,-0.22
CCCCCC=C,-3.73
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.16
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
Oc1ccncc1,1.02
O2c1ccccc1N(CC)C(=O)c3ccccc23 ,-3.68
Nc1nc(=O)[nH]cc1F,-0.972
CCCC(C)O,-0.29
CC(Cl)Cl,-1.29
ClCCCl,-1.06
CCCC(O)CCC,-1.4
C1CCCCC1,-3.1
c1(O)cc(O)ccc1CCCCCC,-2.59
c1ccccc1O,0.0
CCCCCCCC#C,-4.24
CC(C)=CCC/C(C)=C\CO,-2.46
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
Oc1ccccc1Cl,-1.06
Nc1ccccc1O,-0.72
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
Sc2nc1ccccc1s2 ,-3.18
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,-4.16
Cc1cc2ccccc2cc1C,-4.72
CCCCCCCC,-5.24
O=Cc2ccc1OCOc1c2 ,-1.63
C1=Cc2cccc3cccc1c23,-3.96
CCCCCOC(=O)CC,-1.28
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-6.14
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000000000001
CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925
CC(C)C(C)O,-0.18
CCCCCCCC(=O)OC,-3.17
CCCC(C)CO,-1.11
CCCOCCC,-1.62
CCCCCOC(=O)C,-1.89
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.17
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.5180000000000002
COc1ccc(C=CC)cc1,-3.13
O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
CCCCCCCC(=O)OCC,-3.39
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,-3.0210000000000004
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,-5.64
C/C=C/C=O,0.32
C/C1CCCCC1\C,-4.3
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
Oc1cc(Cl)cc(Cl)c1,-1.34
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-2.21
COc1cccc(Cl)c1,-2.78
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
Cc1ccc(O)cc1,-0.73
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.017999999999999
CCCOC(=O)c1ccc(N)cc1,-2.452
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
Cc1cc(=O)n(c2ccccc2)n1C,0.715
CCC(C)CC,-3.68
c1ccccc1C(O)C(O)c2ccccc2,-1.93
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
NC(=O)N,0.96
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
COC=O,0.58
Nc1cccc(c1)N(=O)=O,-2.19
Clc1cccc(c1)N(=O)=O,-2.77
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364
Nc1ccccc1,-0.41
Cc1cc(C)c(C)c(C)c1C,-4.0
Cc1cccc(C)n1,0.45
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
ClCC#N,-0.092
CC(C)C(C)C(C)C,-4.8
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
CN(C)c1ccccc1,-1.92
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
C,-0.9
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.5639999999999996
ClC(=C)Cl,-1.64
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43
CCI,-1.6
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36
CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 ,-3.36
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
Brc1ccc(I)cc1,-4.56
CCCCCCCCC(=O)C,-3.3
C1CCCCCC1,-3.51
CC(C)CCOC=O,-1.52
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4
Clc1ccc2ccccc2c1,-4.14
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
CCCCOCCO,-0.42
NC(=O)c1ccccc1,-0.96
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
CCCC(=O)C,-0.19
ClC(Cl)C(Cl)(Cl)Cl,-2.6
CC/C=C/C,-2.54
Clc1cccc2ccccc12,-3.93
C=CC#N,0.15
CCCCC(C)CC,-5.16
Nc1ccccc1N(=O)=O,-1.96
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
CCCO,0.62
CCCCC(C)(O)CC,-1.6
CCOC(=O)CC(=O)OCC,-0.82
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
Cc1cccc(O)c1,-0.68
CCc1ccccc1C,-3.21
CCNc1nc(Cl)nc(NCC)n1 ,-4.55
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
CC=C(C)C,-2.56
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
Nc1ccccc1Cl,-1.52
Cc1c2ccccc2cc3ccccc13,-5.89
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001
Nc1ccc(O)cc1,-0.8
CCCCBr,-2.37
CN(C)C(=O)N(C)C ,0.94
CNC(=O)Oc1ccccc1C2OCCO2,-1.57
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
CC(C)=CCCC(C)=CC(=O),-2.06
