smiles,solubility,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,4.296666666666667,0.6880092592592595,4.296666666666667,0.6880092592592595,0.689608909143142,213.31,198.19,213.10481647999998,78,0,0.23013095998329353,-0.34677281487587647,0.34677281487587647,0.23013095998329353,0.8571428571428571,1.2857142857142858,1.5714285714285714,3.1333660683554387,286.349990391818,10.71517847069432,9.144316267963653,9.96081284889138,6.540912557858759,4.190081199695458,5.414826071087049,3.210962909691787,3.9843595718257623,1.5738612787525836,2.12158383625775,0.8268221892102836,1.1726956912308846,-1.04,1196.8935934110898,11.037160493827162,4.453891399348217,2.474837422061652,88.55783500009152,9.799819461700956,0.0,5.156436481820707,11.896678561972989,0.0,0.0,0.0,0.0,14.951935562841626,0.0,11.761884949391115,6.255769183511404,28.19068793070876,0.0,0.0,23.658563511364104,0.0,14.951935562841626,0.0,5.156436481820707,44.246276575921115,0.0,0.0,0.0,9.799819461700956,11.896678561972989,0.0,11.761884949391115,49.39839267706178,0.0,0.0,0.0,5.156436481820707,0.0,0.0,0.0,45.150000000000006,0.0,0.0,0.0,0.0,11.896678561972989,5.156436481820707,11.761884949391115,0.0,44.246276575921115,14.951935562841626,0.0,0.0,1.5163888888888888,16.583148148148148,0.7429629629629632,0.0,1.376018518518519,0.0,1.9525925925925927,0.0,7.662222222222222,0.625,14,0,5,0,0,0,0,1,1,6,0,6,3,0,0,0,1,0.7254999999999998,60.26200000000003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OCC(O)CO,1.12,8.166666666666668,-0.9537037037037039,8.166666666666668,0.36458333333333326,0.3814944322102413,92.09400000000001,84.03,92.047344116,38,0,0.10004702601723478,-0.3935933161206694,0.3935933161206694,0.10004702601723478,1.1666666666666667,1.5,1.5,2.7541847860376616,25.219280948873624,4.99156383156272,3.3332046180625943,3.3332046180625943,2.808060412490447,1.7071510027085632,1.7071510027085632,1.0189718779350343,1.0189718779350343,0.42149820593270626,0.42149820593270626,0.05773502691896257,0.05773502691896257,-0.12,19.800269059780252,5.88,3.0849180327868857,2.1377319587628865,35.851836513210806,15.319582184522117,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,15.319582184522117,0.0,0.0,0.0,0.0,6.103966387748303,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.63731250129626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,6.103966387748303,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,0.0,24.016203703703706,0.0,0.0,0.0,-0.9537037037037039,-0.7291666666666665,0.0,1.0,6,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,-1.6681000000000001,20.1784,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,11.738508282942806,-3.5333069395453665,11.738508282942806,0.011533446712018502,0.508454419308821,299.6909999999999,280.53899999999993,299.068937018,106,0,0.4740462421151277,-0.3384522103646234,0.4740462421151277,0.3384522103646234,1.2777777777777777,1.7777777777777777,2.1666666666666665,4.441294810976577,335.1597404803091,14.181798275874712,11.012303729077727,12.662659866096098,8.43519937296352,5.445774157814733,7.284332117504402,3.1376325148189346,5.427755465646838,2.1973736858501285,3.8730702917828586,1.1308423153572218,1.930358749388459,-0.3900000000000002,6387.7523669836655,17.61,8.666942290886718,5.5014872085806354,112.44899538533927,4.899909730850478,5.032286352113597,0.0,0.0,5.907179729351506,7.822697123132171,18.365778669207273,4.565048284931329,0.0,0.0,11.600939890232516,19.92349450621513,27.309107894380215,6.606881964512918,22.930826954138603,25.330816742716195,0.0,4.899909730850478,0.0,13.847474399381248,33.915989858893134,11.108306458947478,0.0,0.0,0.0,0.0,0.0,19.423637013364687,44.72307931909512,22.930826954138603,0.0,13.847474399381248,11.108306458947478,0.0,0.0,0.0,65.07000000000001,7.822697123132171,9.35958546900315,0.0,17.54634804597802,13.08951281182515,0.0,20.295615189388947,4.899909730850478,13.847474399381248,9.047494323423635,16.124687051944335,25.5141654069035,5.817375283446712,13.29908840388007,0.011533446712018502,0.0,-0.29635865457293953,0.0,1.3262885802469135,4.701189277665798,-1.1232817442820757,0.7,18,0,6,0,0,0,0,0,0,5,0,8,8,0,0,0,0,2.3950000000000005,69.44050000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402,12.3772814538656,-0.05412988420676923,12.3772814538656,0.012444452317964316,0.7329727353787588,290.447,260.20699999999994,290.2245802,118,0,0.13855528441675471,-0.39311972765861136,0.39311972765861136,0.13855528441675471,1.0,1.8095238095238095,2.619047619047619,1.6375393766570927,458.4827066363416,14.828062645816686,13.606174262590882,13.606174262590882,9.949160848322624,9.163413310457061,9.163413310457061,9.003127504939814,9.003127504939814,8.347077650797935,8.347077650797935,7.00647703735406,7.00647703735406,-0.37,85969.52181428958,14.236799994770557,4.565586686358275,1.837078375399089,128.24064032509136,5.106527394840706,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,13.847474399381248,80.45318763745044,11.83581209232279,6.103966387748303,9.901064578912528,5.783244946364939,0.0,0.0,34.501605123439134,77.73883539346366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.993738728953947,4.794537184071822,34.501605123439134,71.63486900571534,0.0,0.0,0.0,0.0,37.3,0.0,9.901064578912528,0.0,11.518956857145081,17.11614146192311,49.857826253114226,25.683286491704038,0.0,0.0,13.847474399381248,0.0,0.0,0.0,12.3772814538656,10.039894472060327,0.4520419579868984,3.5361541530192317,0.0,10.148127480158731,4.779833816242546,0.0,0.9473684210526315,21,1,2,4,0,4,0,0,0,2,1,2,0,4,0,4,4,3.959100000000003,82.74080000000006,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.82,6.146028596623834,0.21472757621567196,6.146028596623834,0.21472757621567196,0.3701149223599206,360.88200000000006,356.85,357.844416208,94,0,0.07995621051332959,-0.08271244023625789,0.08271244023625789,0.07995621051332959,0.5555555555555556,1.2222222222222223,1.8333333333333333,2.6749554502007737,620.4500798683472,13.4472292782632,8.577187914813866,13.112761590924595,8.413591357920932,4.699277559929892,6.967064397985258,3.476785005301408,5.832278804550909,2.333228842839524,4.823674523588227,1.446596226320615,2.6558197106341086,0.17999999999999983,10195.465084337839,14.586227811599894,5.6636735958285,2.6971387556458106,134.308094686851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6720064098567,23.762552697081826,5.563451491696996,30.13579988244796,0.0,69.60563934139509,0.0,0.0,0.0,0.0,0.0,54.401268156294385,0.0,11.126902983393991,0.0,0.0,0.0,69.60563934139509,0.0,0.0,0.0,0.0,24.26546827384644,30.13579988244796,11.126902983393991,0.0,0.0,0.0,0.0,0.0,10.045266627482652,25.653984746662303,5.563451491696996,0.0,24.26546827384644,0.0,0.0,69.60563934139509,0.0,35.84635359802356,0.0,1.9775641079477089,1.4069444444444452,0.0,6.769137849584278,0.0,0.0,0.0,0.0,18,0,0,0,0,0,2,0,2,0,0,6,1,0,0,0,2,7.274,81.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,6.202787855883093,-0.011980032753841963,6.202787855883093,0.0004496654628936003,0.27103096544978694,498.66200000000026,498.66200000000026,493.6885268,118,0,0.08089169560206744,-0.08191175609571663,0.08191175609571663,0.08089169560206744,0.22727272727272727,0.36363636363636365,0.5454545454545454,3.0269140714779517,669.959813936206,16.928203230275514,9.77964473009227,17.33893419027682,10.10683602522959,5.139822365046135,8.91946709513841,3.8898223650461348,7.669467095138411,2.6696077047419675,7.223108828511613,1.6487860888755979,4.303501123769647,1.3399999999999999,54493.88210944759,19.66192528605641,7.296647595353457,3.1030608322441124,175.52115959437774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.00939890232513,0.0,11.126902983393991,50.226333137413256,0.0,116.00939890232513,0.0,0.0,0.0,0.0,0.0,50.226333137413256,0.0,11.126902983393991,0.0,0.0,0.0,116.00939890232513,0.0,0.0,0.0,0.0,0.0,50.226333137413256,11.126902983393991,0.0,0.0,0.0,0.0,0.0,61.35323612080724,0.0,0.0,0.0,0.0,0.0,0.0,116.00939890232513,0.0,60.858419137202205,0.0,-0.04953024831331154,0.3022222222222233,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,2,0,2,0,0,10,1,0,0,0,2,9.887599999999999,101.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCc1ccccc1CC,-3.28,2.207175925925926,1.1567592592592593,2.207175925925926,1.1567592592592593,0.5831204703949601,134.22199999999998,120.10999999999997,134.109550448,54,0,-0.030470988556806407,-0.06197457993591865,0.06197457993591865,0.030470988556806407,0.9,1.3,1.6,2.964000093923802,177.9482132452993,7.397341225498538,6.723614639131599,6.723614639131599,4.8805400575618805,3.9486706127492686,3.9486706127492686,2.4758171096315813,2.4758171096315813,1.8801892875255706,1.8801892875255706,1.247321500154146,1.247321500154146,-0.78,238.97589595141258,7.328459869848157,3.4037722935552446,1.3813978449955595,62.89117157708339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.112942673227685,23.96854622924601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.689117645233267,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,24.974377382775238,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,11.126902983393991,0.0,0.0,38.112942673227685,0.0,0.0,0.0,0.0,0.0,2.981481481481482,0.0,8.632592592592593,2.3135185185185185,4.4057407407407405,0.0,0.4,10,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2.811400000000001,45.19800000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,2.246574074074074,1.3254686318972035,2.246574074074074,1.3254686318972035,0.24345418372476169,252.31599999999997,240.21999999999994,252.093900384,92,0,-0.0026374259118045365,-0.06101065729867257,0.06101065729867257,0.0026374259118045365,0.35,0.65,0.95,2.3176108221779406,917.0049697160238,13.104083527755582,10.928203230275512,10.928203230275512,9.932652990377575,6.976067743425172,6.976067743425172,5.418517833155046,5.418517833155046,4.389742878019982,4.389742878019982,3.5797716184697412,3.5797716184697412,-2.5999999999999988,107623.25434394435,10.21902349550179,3.486521567643158,1.1198586037116531,116.13708612657337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,43.089793715718365,0.0,0.0,0.0,43.089793715718365,0.0,0.0,0.0,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,0.0,43.089793715718365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.089793715718365,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,10.884270597127742,0.0,0.0,26.449062736205597,0.0,0.0,0.0,0.0,20,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5.737200000000003,87.65200000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrCBr,-1.17,3.0625,0.875,3.0625,0.875,0.49009217871796995,173.83499999999998,171.819,171.852324264,20,0,0.05878888811867264,-0.08024865081729037,0.08024865081729037,0.05878888811867264,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.463035727205002,4.63502880543441,1.4142135623730951,0.5345224838248487,2.777460299317654,0.10101525445522105,2.727411870290968,0.0,0.0,0.0,0.0,0.96,2.7548875021634682,3.9600000000000004,2.9600000000000004,2.96,36.47434623911227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,0.0,0.0,4.239357671196846,0.0,31.859887795898697,0.0,0.0,0.0,0.0,4.239357671196846,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,4.239357671196846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.239357671196846,0.0,0.0,0.0,31.859887795898697,0.0,0.875,6.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.7337,22.720999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,12.264773718403545,-0.2978326600064065,12.264773718403545,0.05955473597203431,0.8398032346789406,330.4680000000001,300.228,330.21949481999997,132,0,0.16129586340713642,-0.3885795300144365,0.3885795300144365,0.16129586340713642,1.125,1.9166666666666667,2.6666666666666665,1.646027462326123,606.2051148204893,17.11251969619286,15.014422553054745,15.014422553054745,11.397849253306369,9.773953645538066,9.773953645538066,9.26772824476314,9.26772824476314,8.506521861267451,8.506521861267451,7.19844630955438,7.19844630955438,-0.9600000000000002,366562.23336098995,16.50531036972541,5.5204902403673355,2.1262227511659666,144.44244362174408,5.106527394840706,6.606881964512918,11.566489892729878,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,19.420578929450514,79.6054705445937,12.338727669087403,0.0,14.69560176298435,11.566489892729878,0.0,0.0,34.501605123439134,65.21404738278933,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,23.279899252083503,9.589074368143644,34.501605123439134,65.21404738278933,11.64912463690315,0.0,0.0,0.0,54.370000000000005,0.0,14.69560176298435,0.0,29.13801389583281,29.957784707775126,32.10410811463005,18.414747775921285,0.0,6.076020106833881,13.847474399381248,0.0,0.0,0.0,24.132045743689744,9.363647116398635,1.698961889539767,2.4180510122309817,0.0,10.302915252686628,4.41771231878758,0.0,0.8095238095238095,24,1,3,4,0,4,0,0,0,3,1,3,2,3,0,3,4,3.695900000000003,92.29280000000004,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
