(base) D:\Chris\Documents\北京大学\机器学习\大作业\ADMET_RNN>train20200101.py
    count: 0---loss: 16.205
    count: 5---loss: 3.496
    count: 10---loss: 3.102
    count: 0---loss: 15.144
    count: 5---loss: 3.490
    count: 10---loss: 3.520
    count: 0---loss: 12.883
    count: 5---loss: 3.320
    count: 10---loss: 3.755
    count: 0---loss: 17.453
    count: 5---loss: 5.585
    count: 10---loss: 3.299
    count: 0---loss: 15.345
    count: 5---loss: 5.688
    count: 10---loss: 3.304
Validation Score over Epoch 0: 3.533
    count: 0---loss: 4.967
    count: 5---loss: 3.165
    count: 10---loss: 2.764
    count: 0---loss: 4.489
    count: 5---loss: 3.197
    count: 10---loss: 3.615
    count: 0---loss: 4.761
    count: 5---loss: 2.946
    count: 10---loss: 3.754
    count: 0---loss: 4.087
    count: 5---loss: 3.733
    count: 10---loss: 3.496
    count: 0---loss: 4.969
    count: 5---loss: 3.791
    count: 10---loss: 2.477
Validation Score over Epoch 1: 3.180
    count: 0---loss: 4.683
    count: 5---loss: 3.249
    count: 10---loss: 2.746
    count: 0---loss: 4.582
    count: 5---loss: 2.888
    count: 10---loss: 2.443
    count: 0---loss: 3.560
    count: 5---loss: 2.459
    count: 10---loss: 2.349
    count: 0---loss: 4.906
    count: 5---loss: 2.543
    count: 10---loss: 3.377
    count: 0---loss: 4.179
    count: 5---loss: 3.391
    count: 10---loss: 2.977
Validation Score over Epoch 2: 2.758
    count: 0---loss: 4.105
    count: 5---loss: 1.860
    count: 10---loss: 2.444
    count: 0---loss: 4.365
    count: 5---loss: 2.925
    count: 10---loss: 2.032
    count: 0---loss: 2.809
    count: 5---loss: 2.528
    count: 10---loss: 2.504
    count: 0---loss: 3.707
    count: 5---loss: 2.588
    count: 10---loss: 2.515
    count: 0---loss: 4.313
    count: 5---loss: 2.533
    count: 10---loss: 2.419
Validation Score over Epoch 3: 2.393
    count: 0---loss: 3.133
    count: 5---loss: 2.158
    count: 10---loss: 1.737
    count: 0---loss: 3.060
    count: 5---loss: 2.047
    count: 10---loss: 1.527
    count: 0---loss: 3.569
    count: 5---loss: 2.228
    count: 10---loss: 1.885
    count: 0---loss: 4.133
    count: 5---loss: 1.942
    count: 10---loss: 2.430
    count: 0---loss: 3.136
    count: 5---loss: 2.164
    count: 10---loss: 1.901
Validation Score over Epoch 4: 2.004
    count: 0---loss: 2.575
    count: 5---loss: 1.542
    count: 10---loss: 1.369
    count: 0---loss: 2.806
    count: 5---loss: 1.679
    count: 10---loss: 1.871
    count: 0---loss: 2.308
    count: 5---loss: 1.639
    count: 10---loss: 1.720
    count: 0---loss: 3.298
    count: 5---loss: 1.380
    count: 10---loss: 1.922
    count: 0---loss: 2.301
    count: 5---loss: 2.046
    count: 10---loss: 1.703
Validation Score over Epoch 5: 1.737
    count: 0---loss: 2.736
    count: 5---loss: 1.576
    count: 10---loss: 1.608
    count: 0---loss: 1.717
    count: 5---loss: 1.285
    count: 10---loss: 1.421
    count: 0---loss: 2.020
    count: 5---loss: 1.421
    count: 10---loss: 1.595
    count: 0---loss: 2.349
    count: 5---loss: 1.194
    count: 10---loss: 1.720
    count: 0---loss: 2.497
    count: 5---loss: 1.722
    count: 10---loss: 1.757
Validation Score over Epoch 6: 1.474
    count: 0---loss: 2.003
    count: 5---loss: 1.214
    count: 10---loss: 1.460
    count: 0---loss: 1.689
    count: 5---loss: 1.217
    count: 10---loss: 1.412
    count: 0---loss: 1.837
    count: 5---loss: 1.189
    count: 10---loss: 1.454
    count: 0---loss: 2.274
    count: 5---loss: 1.425
    count: 10---loss: 1.489
    count: 0---loss: 1.602
    count: 5---loss: 1.156
    count: 10---loss: 1.579
Validation Score over Epoch 7: 1.291
    count: 0---loss: 1.772
    count: 5---loss: 1.368
    count: 10---loss: 1.533
    count: 0---loss: 1.773
    count: 5---loss: 1.145
    count: 10---loss: 1.403
    count: 0---loss: 1.484
    count: 5---loss: 0.878
    count: 10---loss: 0.824
    count: 0---loss: 1.351
    count: 5---loss: 1.345
    count: 10---loss: 1.443
    count: 0---loss: 1.757
    count: 5---loss: 1.374
    count: 10---loss: 1.603
Validation Score over Epoch 8: 1.214
    count: 0---loss: 1.681
    count: 5---loss: 1.223
    count: 10---loss: 1.221
    count: 0---loss: 1.827
    count: 5---loss: 1.175
    count: 10---loss: 1.087
    count: 0---loss: 0.963
    count: 5---loss: 1.008
    count: 10---loss: 1.249
    count: 0---loss: 1.706
    count: 5---loss: 0.975
    count: 10---loss: 1.515
    count: 0---loss: 1.662
    count: 5---loss: 1.064
    count: 10---loss: 1.445
Validation Score over Epoch 9: 1.077
process ended

基于以上模型继续训练
    count: 0---loss: 1.478
    count: 5---loss: 1.085
    count: 10---loss: 1.204
    count: 0---loss: 1.445
    count: 5---loss: 1.768
    count: 10---loss: 1.433
    count: 0---loss: 0.679
    count: 5---loss: 2.170
    count: 10---loss: 1.974
    count: 0---loss: 1.615
    count: 5---loss: 1.913
    count: 10---loss: 1.565
    count: 0---loss: 1.623
    count: 5---loss: 1.997
    count: 10---loss: 1.723
Validation Score over Epoch 0: 1.244
    count: 0---loss: 1.302
    count: 5---loss: 1.136
    count: 10---loss: 1.024
    count: 0---loss: 1.526
    count: 5---loss: 1.222
    count: 10---loss: 1.254
    count: 0---loss: 1.875
    count: 5---loss: 1.214
    count: 10---loss: 1.023
    count: 0---loss: 1.825
    count: 5---loss: 1.117
    count: 10---loss: 1.432
